internalTaxonId,scientificName,name,language,main
154717,Anchoa choerostoma,White Fry,English,false
154717,Anchoa choerostoma,Sardel bermudská,Undetermined,false
154717,Anchoa choerostoma,Bermuda Anchovy,English,true
155021,Coryphopterus hyalinus,Gobio Cristal,Spanish; Castilian,false
155021,Coryphopterus hyalinus,Glass Goby,English,true
187435,Halichoeres socialis,Social Wrasse,English,true
191823,Megalops atlanticus,Sábalo,Spanish; Castilian,false
191823,Megalops atlanticus,Tarpon,English,true
46981005,Kalophrynus yongi,Cameron Highland Sticky Frog,English,true
191694,Allotoca catarinae,Catarina - darázspontyocska,Hungarian,false
191694,Allotoca catarinae,Catarina Kärpfling,German,false
191694,Allotoca catarinae,Tiro Catarina,Spanish; Castilian,false
191694,Allotoca catarinae,Catarina Allotoca,English,true
47103060,Panopa croizati,Horton's Mabuya,English,true
47103145,Spondylurus culebrae,Culebra Skink,English,true
47103224,Spondylurus magnacruzae,Greater Saint Croix Skink,English,true
47103248,Spondylurus monae,Mona Skink,English,true
47103260,Spondylurus monitae,Monito Skink,English,true
47103272,Spondylurus nitidus,Puerto Rican Skink,English,true
47103294,Spondylurus semitaeniatus,Lesser Virgin Islands Skink,English,true
47103310,Spondylurus sloanii,Virgin Islands Bronze Skink,English,true
47103328,Spondylurus spilonotus,Greater Virgin Islands Skink,English,true
47143971,Rhacophorus vampyrus,Vampire Flying Frog,English,true
47151415,Leptobrachium tagbanorum,Palawan Litter Frog,English,true
47155317,Bellatorias obiri,Arnhem Land Egernia,English,false
47155317,Bellatorias obiri,Arnhem Land Gorges Skink,English,true
60318,Labeo victorianus,Ningu,English,true
60380,Xenoclarias eupogon,Lake Victoria Deepwater Catfish,English,true
60844,Opsaridium microlepis,Lake Salmon,English,false
61276,Oreochromis lidole,Chambo,English,true
3036,Bradypus torquatus,Brazilian Three-toed Sloth,English,false
3036,Bradypus torquatus,Maned Sloth,English,false
3036,Bradypus torquatus,Bicho-Preguiça,Portuguese,false
3036,Bradypus torquatus,Kragenfaultier,German,false
3036,Bradypus torquatus,Preguiça,Portuguese,false
3036,Bradypus torquatus,Preguiça-de-Coleira,Portuguese,false
3036,Bradypus torquatus,Maned Three-toed Sloth,English,true
14224,Myrmecophaga tridactyla,Grand Fourmilier,French,false
14224,Myrmecophaga tridactyla,Hormiguero Gigante,Spanish; Castilian,false
14224,Myrmecophaga tridactyla,Oso Caballo,Spanish; Castilian,false
14224,Myrmecophaga tridactyla,Oso Hormiguero,Spanish; Castilian,false
14224,Myrmecophaga tridactyla,Oso Palmero,Spanish; Castilian,false
14224,Myrmecophaga tridactyla,Tamanduá Bandeira,Portuguese,false
14224,Myrmecophaga tridactyla,Tamanoir,French,false
14224,Myrmecophaga tridactyla,Giant Anteater,English,true
18144,Priodontes maximus,Armadillo Gigante,Spanish; Castilian,false
18144,Priodontes maximus,Carachupa Manan,Spanish; Castilian,false
18144,Priodontes maximus,Cuspon,Spanish; Castilian,false
18144,Priodontes maximus,Riesengürteltier,German,false
18144,Priodontes maximus,Tatou Géant,French,false
18144,Priodontes maximus,Tatu-Canastra,Portuguese,false
18144,Priodontes maximus,Tatú Carreta,Spanish; Castilian,false
18144,Priodontes maximus,Tatú Guazú,Spanish; Castilian,false
18144,Priodontes maximus,Giant Armadillo,English,true
21975,Tolypeutes tricinctus,Dreibinden-Kugelgürteltier,German,false
21975,Tolypeutes tricinctus,Tatu-Bola,Portuguese,false
21975,Tolypeutes tricinctus,Brazilian Three-banded Armadillo,English,true
61925,Bradypus pygmaeus,Perezoso Pigmeo,Spanish; Castilian,false
61925,Bradypus pygmaeus,Preguiça Anã,Portuguese,false
61925,Bradypus pygmaeus,Zwergfaultier,German,false
61925,Bradypus pygmaeus,Pygmy Three-toed Sloth,English,true
47149690,Hypoplectrus castroaguirrei,Veracruz White Hamlet,English,true
176317,Trioceros laterispinis,Spiny-flanked Chameleon,English,false
176317,Trioceros laterispinis,Spiny-sided Chameleon,English,true
176321,Rhampholeon marshalli,Marshall's African Leaf Chameleon,English,false
176321,Rhampholeon marshalli,Marshall's Stump-tail Chameleon,English,false
176321,Rhampholeon marshalli,Marshall's Pygmy Chameleon,English,true
176323,Rhampholeon spinosus,Rosette-nosed Chameleon,English,false
176323,Rhampholeon spinosus,Rosette-nosed Pygmy Chameleon,English,false
176323,Rhampholeon spinosus,Usambara Spiny Pygmy Chameleon,English,true
47691366,Ephippiger camillae,Camilla's Saddle Bush-cricket,English,true
47691854,Ephippiger ruffoi,Pygmy Saddle Bush-cricket,English,true
47692210,Ephippiger zelleri,Zeller's Saddle Bush-cricket,English,true
17182027,Poecilimon ikariensis,Ikaria Bright Bush-cricket,English,true
15038481,Prionotropis rhodanica,Crau Stone Grasshopper,English,false
15038481,Prionotropis rhodanica,Crau Plain Grasshopper,English,true
47709755,Anonconotus apenninigenus,Southern Alpine Bush-cricket,English,true
47709779,Anonconotus sibyllinus,Sibylline Alpine Bush-cricket,English,true
47713106,Tessellana lagrecai,Lagreca's Slender Bush-cricket,English,false
47713106,Tessellana lagrecai,La Greca's Slender Bush-cricket,English,true
47713126,Tessellana nigrosignata,Black-marked Bush-cricket,English,false
47713126,Tessellana nigrosignata,Black-marked Slender Bush-cricket,English,true
47713194,Tettigonia longispina,Sardinian Green Bush-cricket,English,true
47755582,Alsophylax loricatus,Strauch's Even-fingered Gecko,English,true
47755599,Alsophylax szczerbaki,Szczerbak’s Even-fingered Gecko,English,true
47755615,Alsophylax tadjikiensis,Tadjikistan Even-fingered Gecko,English,true
47755705,Phrynocephalus rossikowi,Uzbekistan Toadhead Agama,English,true
112716154,Capensibufo rosei,Rose’s Mountain Toadlet ,English,true
47992974,Lophuromys chercherensis,Mount Chercher Brush-furred Rat,English,true
47992992,Lophuromys pseudosikapusi,Sheko Forest Brush-furred Rat,English,true
48081228,Hyperolius inyangae,Nyanga Long Reed Frog,English,true
48099998,Theloderma bambusicolum,Bamboo Moss Frog,English,true
48100370,Theloderma nebulosum,Misty Moss Frog,English,true
48100463,Theloderma palliatum,Cloaked Moss Frog,English,true
48101220,Gracixalus quangi,Quang’s Tree Frog,English,true
48101708,Leptobrachella melica,Musical leaf-litter toad,English,true
46079873,Omobranchus mekranensis,Arab Blenny,English,false
46079873,Omobranchus mekranensis,Mekran Blenny,English,true
47143176,Emblemariopsis pricei,Seafan Blenny,English,true
48342364,Ecsenius tigris,Tiger Blenny,English,true
