internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
64552175,Bucephaloptera cypria,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Bucephaloptera,cypria,,,,,"Ramme, 1933",
44711866,Eupholidoptera pallipes,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,pallipes,,,,,"Willemse &amp; Kruseman, 1976",
68450071,Parnassiana chelmos,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,chelmos,,,,,"(Zeuner, 1941)",
68450152,Parnassiana coracis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,coracis,,,,,"(Ramme, 1921)","Zeuner (1941) described <em>Parnassiana tymphrestos </em>from Mt.Timfristos (= Mt. Veluchi, compare Ramme, 1931). Ramme (1951) discussed the possible synonymy of <em>P. tymphrestos</em> and <em>P. coracis</em> but, not being aware that Mt. Korax is close to Mt. Timfristos, and by lack of material of <em>P. tymphrestos</em>, did not solve it, and the matter remains unsolved. For the time being, the material from Mt. Vardhousia recorded under <em>P. tymphrestos</em> in F. Willemse (1980 &amp; 1984) should be transferred to <em>Platycleis (Parnassiana) coracis</em> Ramme, 1920. Likewise a re-evaluation of the population of Mt. Oiti, also arranged under <em>P. tymphrestos</em> in F. Willemse (1973 &amp; 1980) appears necessary."
68450165,Parnassiana dirphys,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,dirphys,,,,,"(Willemse, 1980)",
68450223,Parnassiana fusca,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,fusca,,,,,"(Brunner von Wattenwyl, 1882)",
68450237,Parnassiana gionica,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,gionica,,,,,"La Greca &amp; Messina, 1976",
68450241,Parnassiana menalon,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,menalon,,,,,"Willemse, 1975",
68450251,Parnassiana nigromarginata,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,nigromarginata,,,,,"(Willemse &amp; Willemse, 1987)",
68450271,Parnassiana panaetolikon,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,panaetolikon,,,,,"Willemse, 1980",
68450303,Parnassiana parnassica,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,parnassica,,,,,"(Ramme, 1926)",
68450311,Parnassiana parnon,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,parnon,,,,,"Willemse, 1980",
68450318,Parnassiana tenuis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,tenuis,,,,,"(Heller &amp; Willemse, 1989)",
68450364,Parnassiana tymphiensis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,tymphiensis,,,,,"(Willemse, 1973)",
68450372,Parnassiana tymphrestos,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Parnassiana,tymphrestos,,,,,"Zeuner, 1941",
68451909,Pholidoptera lucasi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Pholidoptera,lucasi,,,,,"Willemse, 1976",
44698051,Rhacocleis crypta,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,crypta,,,,,"Willemse &amp; Willemse, 2005",
44698053,Rhacocleis derrai,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,derrai,,,,,"Harz, 1983",
44698055,Rhacocleis distinguenda,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,distinguenda,,,,,"Werner, 1934",
44698059,Rhacocleis ferdinandi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,ferdinandi,,,,,"Willemse &amp; Tilmans, 1987",
44698076,Rhacocleis lithoscirtetes,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,lithoscirtetes,,,,,"Willemse &amp; Willemse, 2005",
44698104,Rhacocleis trilobata,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,trilobata,,,,,"La Greca &amp; Messina, 1974",
70613415,Dolichopoda calidnae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,RHAPHIDOPHORIDAE,Dolichopoda,calidnae,,,,,"Rampini &amp; Di Russo, 2012",
16084435,Podismopsis keisti,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Podismopsis,keisti,,,,,"(Nadig, 1989)",
16084476,Podismopsis styriaca,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Podismopsis,styriaca,,,,,"Koschuh, 2008",
