internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
18182,Probarbus jullieni,"Cyclocheilichthys jullieni Sauvage, 1880",Cyclocheilichthys,jullieni,"Sauvage, 1880",,
184855,Pachydrobia zilchi,"Pachydrobia zilchi Brandt, 1970",Pachydrobia,zilchi,"Brandt, 1970",,
184864,Brotia wykoffi,"Brotia (Senckenbergia) wykoffi Brandt, 1974",Brotia,(Senckenbergia) wykoffi,"Brandt, 1974",,
184864,Brotia wykoffi,"Brotia wykoffi Köhler & Glaubrecht, 2002",Brotia,wykoffi,"Köhler & Glaubrecht, 2002",,
184870,Brotia subgloriosa,"Brotia (Brotia) binodosa subgloriosa Brandt, 1974",Brotia,(Brotia) binodosa subgloriosa,"Brandt, 1974",,
184870,Brotia subgloriosa,"Brotia binodosa subgloriosa Brandt, 1968",Brotia,binodosa subgloriosa,"Brandt, 1968",,
184870,Brotia subgloriosa,"Brotia (Brotia) binodosa subgloriosa Brandt, 1974",Brotia,(Brotia) binodosa subgloriosa,"Brandt, 1974",,
184870,Brotia subgloriosa,"Brotia binodosa subgloriosa Brandt, 1968",Brotia,binodosa subgloriosa,"Brandt, 1968",,
184890,Brotia paludiformis,"Paracrostoma paludiformis Solem, 1966",Paracrostoma,paludiformis,"Solem, 1966",,
185144,Scartella springeri,"Blennius springeri Bauchot, 1967",Blennius,springeri,"Bauchot, 1967",,
185152,Lupinoblennius paivai,"Blennius paivai Pinto, 1958",Blennius,paivai,"Pinto, 1958",,
185163,Scartella nuchifilis,"Blennius nuchifilis Valenciennes, 1836",Blennius,nuchifilis,"Valenciennes, 1836",,
1858,Aphaostracon pycnus,"Aphaostracon pycnum Thompson, 1968",Aphaostracon,pycnum,"Thompson, 1968",,
185905,Tigrigobius redimiculus,"Elacatinus redimiculus Taylor & Akins, 2007",Elacatinus,redimiculus,"Taylor & Akins, 2007",,
185955,Coryphopterus tortugae,"Ctenogobius tortugae Jordan, 1904",Ctenogobius,tortugae,"Jordan, 1904",,
185956,Coryphopterus venezuelae,Coryphopterus bol Victor 2008,Coryphopterus,bol,Victor 2008,,
185956,Coryphopterus venezuelae,"Coryphopterus glaucofraenum ssp. venezuelae Cervigón, 1966",Coryphopterus,glaucofraenum,,subspecies,"Cervigón, 1966"
185960,Coryphopterus personatus,"Eviota personata Jordan & Thompson, 1905",Eviota,personata,"Jordan & Thompson, 1905",,
185977,Elacatinus atronasus,"Elacatinus atronasum (Böhlke & Robins, 1968)",Elacatinus,atronasum,"(Böhlke & Robins, 1968)",,
185977,Elacatinus atronasus,"Gobiosoma atronasum Böhlke & Robins, 1968",Gobiosoma,atronasum,"Böhlke & Robins, 1968",,
185980,Elacatinus prochilos,"Gobiosoma prochilos Böhlke & Robins, 1968",Gobiosoma,prochilos,"Böhlke & Robins, 1968",,
186014,Gobiosoma hildebrandi,"Garmannia hildebrandi Ginsburg, 1939",Garmannia,hildebrandi,"Ginsburg, 1939",,
186016,Gobiosoma spilotum,"Gobiosoma spilota (Ginsburg, 1939)",Gobiosoma,spilota,"(Ginsburg, 1939)",,
186016,Gobiosoma spilotum,"Garmannia spilota Ginsburg, 1939",Garmannia,spilota,"Ginsburg, 1939",,
186166,Raorchestes sushili,"Philautus sushili Biju & Bossuyt, 2009",Philautus,sushili,"Biju & Bossuyt, 2009",,
186166,Raorchestes sushili,"Pseudophilautus sushili (Biju & Bossuyt, 2009)",Pseudophilautus,sushili,"(Biju & Bossuyt, 2009)",,
187822,Gracixalus quyeti,"Philautus quyeti Nguyen, Hendrix, Böhme, Vu & Ziegler, 2008",Philautus,quyeti,"Nguyen, Hendrix, Böhme, Vu & Ziegler, 2008",,
187830,Raorchestes chromasynchysi,"Pseudophilautus chromasynchysi (Biju & Bossuyt, 2009)",Pseudophilautus,chromasynchysi,"(Biju & Bossuyt, 2009)",,
187830,Raorchestes chromasynchysi,"Philautus chromasynchysi Biju & Bossuyt, 2009",Philautus,chromasynchysi,"Biju & Bossuyt, 2009",,
187923,Yasuhikotakia nigrolineata,"Botia nigrolineata Kottelat & Chu, 1987",Botia,nigrolineata,"Kottelat & Chu, 1987",,
18825,Ptychobranchus greenii,"Ptychobranchus greeni (Conrad, 1834)",Ptychobranchus,greeni,"(Conrad, 1834)",,
18826,Ptychobranchus jonesi,"Lampsilis jonesi van der Schalie, 1934",Lampsilis,jonesi,"van der Schalie, 1934",,
188472,Altrichthys azurelineatus,"Amblyglyphidodon azurelineatus (Fowler & Bean, 1928)",Amblyglyphidodon,azurelineatus,"(Fowler & Bean, 1928)",,
188472,Altrichthys azurelineatus,"Chromis azurelineatus Fowler & Bean, 1928",Chromis,azurelineatus,"Fowler & Bean, 1928",,
188546,Amblyglyphidodon ternatensis,"Glyphidodon nigrifrons Macleay, 1883",Glyphidodon,nigrifrons,"Macleay, 1883",,
188546,Amblyglyphidodon ternatensis,"Abudefduf philippinus Fowler, 1918",Abudefduf,philippinus,"Fowler, 1918",,
188546,Amblyglyphidodon ternatensis,"Glyphisodon schlegelii Bleeker, 1853",Glyphisodon,schlegelii,"Bleeker, 1853",,
188546,Amblyglyphidodon ternatensis,"Glyphisodon ternatensis Bleeker, 1853",Glyphisodon,ternatensis,"Bleeker, 1853",,
188986,Cincinna kizakikoensis,Valvata kizakioensis (Fujita and Habe 1991),Valvata,kizakioensis,(Fujita and Habe 1991),,
18961,Marstonia castor,"Pyrgulopsis castor (Thompson, 1977)",Pyrgulopsis,castor,"(Thompson, 1977)",,
189654,Tryonia diaboli,"Paludestrina diaboli Pilsbry & Ferriss, 1906",Paludestrina,diaboli,"Pilsbry & Ferriss, 1906",,
189660,Stagnicola idahoensis,"Lymnaea idahoensis Henderson, 1931",Lymnaea,idahoensis,"Henderson, 1931",,
189676,Juga occata,"Goniobasis acutifilosa ssp. pittensis Henderson, 1935",Goniobasis,acutifilosa,,subspecies,"Henderson, 1935"
189681,Pyrgulopsis ventricosa,"Pomatiopsis intermedia Cooper, 1876",Pomatiopsis,intermedia,"Cooper, 1876",,
189690,Quadrula intermedia,"Quadrula intermedia (Conrad, 1836)",Quadrula,intermedia,"(Conrad, 1836)",,
189694,Physa zionis,"Physella zionis Te, 1980",Physella,zionis,"Te, 1980",,
189694,Physa zionis,"Petrophysa zionis Taylor, 2003",Petrophysa,zionis,"Taylor, 2003",,
189770,Paludomus messageri,"Cremnoconchus messageri Bavay and Dautzenberg, 1900",Cremnoconchus,messageri,"Bavay and Dautzenberg, 1900",,
18980,Marstonia ozarkensis,"Pyrgulopsis ozarkensis Hinkley, 1915",Pyrgulopsis,ozarkensis,"Hinkley, 1915",,
190138,Rhomboplites aurorubens,"Romboplites aurorubens (Cuvier, 1829)",Romboplites,aurorubens,"(Cuvier, 1829)",,
190138,Rhomboplites aurorubens,"Centropristis aurorubens Cuvier, 1829",Centropristis,aurorubens,"Cuvier, 1829",,
190138,Rhomboplites aurorubens,"Aprion ariommus Jordan & Gilbert, 1883",Aprion,ariommus,"Jordan & Gilbert, 1883",,
190138,Rhomboplites aurorubens,"Mesoprion elegans Poey, 1860",Mesoprion,elegans,"Poey, 1860",,
19056,Fusconaia mitchelli,"Quincuncina mitchelli Simpson, 1896",Quincuncina,mitchelli,"Simpson, 1896",,
19056,Fusconaia mitchelli,"Quadrula mitchelli Simpson, 1895",Quadrula,mitchelli,"Simpson, 1895",,
19070,Rafetus euphraticus,"Testudo euphratica Olivier in Daudin, 1801",Testudo,euphratica,"Olivier in Daudin, 1801",,
19070,Rafetus euphraticus,"Trionyx euphraticus (Olivier in Daudin, 1801)",Trionyx,euphraticus,"(Olivier in Daudin, 1801)",,
19070,Rafetus euphraticus,Testudo  rafcht Olivier 1807,Testudo ,rafcht,Olivier 1807,,
191120,Atherinella lisa,"Menidia lisa Meek, 1904",Menidia,lisa,"Meek, 1904",,
191131,Chirostoma charari,"Eslopsarum bartoni de Buen, 1945 ssp. charari",Eslopsarum,bartoni,"de Buen, 1945",subspecies,
191163,Chirostoma lucius,"Menidia lucius (Boulenger, 1900)",Menidia,lucius,"(Boulenger, 1900)",,
191168,Chirostoma melanoccus,"Menidia melanoccus (Alvarez, 1963)",Menidia,melanoccus,"(Alvarez, 1963)",,
191181,Chirostoma patzcuaro,"Menidia patzcuaro (Meek, 1902) ",Menidia,patzcuaro,"(Meek, 1902) ",,
191187,Chirostoma riojai,"Menidia riojai (Solórzano & López, 1966)",Menidia,riojai,"(Solórzano & López, 1966)",,
191188,Chirostoma sphyraena,"Menidia sphyraena (Boulenger, 1900)",Menidia,sphyraena,"(Boulenger, 1900)",,
191249,Algansea avia,"Algansea monticola ssp. avia Barbour and Miller, 1978",Algansea,monticola,,subspecies,"Barbour and Miller, 1978"
191253,Algansea popoche,"Xystrosus popoche Jordan & Snyder, 1899",Xystrosus,popoche,"Jordan & Snyder, 1899",,
191271,Notropis boucardi,"Leuciscus boucardi Günther, 1868",Leuciscus,boucardi,"Günther, 1868",,
191275,Notropis calientis,"Hybopsis callientis (Jordan & Snyder, 1899)",Hybopsis,callientis,"(Jordan & Snyder, 1899)",,
191296,Tampichthys rasconis,"Dionda rasconis (Jordan & Snyder, 1899)",Dionda,rasconis,"(Jordan & Snyder, 1899)",,
191296,Tampichthys rasconis,"Notropis rasconis Jordan & Snyder, 1899",Notropis,rasconis,"Jordan & Snyder, 1899",,
191297,Yuriria alta,"Notropis altus (Jordan, 1880)",Notropis,altus,"(Jordan, 1880)",,
191297,Yuriria alta,"Hudsonius altus Jordan, 1880",Hudsonius,altus,"Jordan, 1880",,
191299,Yuriria chapalae,"Falcula chapalae Jordan & Snyder, 1899",Falcula,chapalae,"Jordan & Snyder, 1899",,
191372,Allodontichthys zonistius,"Alloophorus zonistius Turner, 1937",Alloophorus,zonistius,"Turner, 1937",,
191372,Allodontichthys zonistius,"Zoogoneticus zonistius Hubbs, 1932",Zoogoneticus,zonistius,"Hubbs, 1932",,
191692,Alloophorus robustus,"Fundulus parvipinnis Garman, 1895",Fundulus,parvipinnis,"Garman, 1895",,
191692,Alloophorus robustus,"Zoogoneticus robustus Meek, 1902",Zoogoneticus,robustus,"Meek, 1902",,
191692,Alloophorus robustus,"Zoogoneticus maculatus Regan, 1904",Zoogoneticus,maculatus,"Regan, 1904",,
191692,Alloophorus robustus,"Fundulus robustus Bean, 1892",Fundulus,robustus,"Bean, 1892",,
191695,Allotoca dugesii,"Adinia dugesii Jordan & Evermann, 1896",Adinia,dugesii,"Jordan & Evermann, 1896",,
191695,Allotoca dugesii,"Zoogoneticus  dugesii Meek, 1902",Zoogoneticus ,dugesii,"Meek, 1902",,
191695,Allotoca dugesii,"Allotoca  vivipara de Buen, 1940",Allotoca ,vivipara,"de Buen, 1940",,
191695,Allotoca dugesii,"Fundulus dugesii Bean, 1887",Fundulus,dugesii,"Bean, 1887",,
191697,Allotoca meeki,"Zoogoneticus diazi (p.p.) Meek, 1902",Zoogoneticus,diazi (p.p.),"Meek, 1902",,
191697,Allotoca meeki,"Neoophorus diazi (p.p) Hubbs & Turner, 1939",Neoophorus,diazi (p.p),"Hubbs & Turner, 1939",,
191697,Allotoca meeki,"Neoophorus diazi ssp. diazi (p.p.) de Buén, 1942",Neoophorus,diazi,,subspecies,"de Buén, 1942"
191697,Allotoca meeki,"Neoophorus meeki Alvarez, 1959",Neoophorus,meeki,"Alvarez, 1959",,
191698,Neoophorus regalis,"Alloophorus regalis Álvarez, 1970",Alloophorus,regalis,"Álvarez, 1970",,
191698,Neoophorus regalis,Allotoca regalis Espinosa-Perez et al. 1993,Allotoca,regalis,Espinosa-Perez et al. 1993,,
191700,Chapalichthys encaustus,"Characodon encaustus Jordan & Snyder, 1899",Characodon,encaustus,"Jordan & Snyder, 1899",,
191705,Chapalichthys pardalis,"Chapalichthys peraticus Alvarez, 1963",Chapalichthys,peraticus,"Alvarez, 1963",,
