,id,title,categories,date,closed,date_closed,geometries
1074,EONET_3348,"Tinakula Volcano, Solomon Islands",Volcanoes,2017-10-25,True,2017-10-27,"{'type': 'Point', 'coordinates': [165.8, -10.38]}"
1075,EONET_3353,"Stromboli Volcano, Italy",Volcanoes,2017-10-23,True,2017-11-02,"{'type': 'Point', 'coordinates': [15.213, 38.789]}"
1076,EONET_3333,Northern Corsica Wildfires,Wildfires,2017-10-22,True,2017-10-23,"{'type': 'Point', 'coordinates': [9.076704467773425, 42.570908623949]}"
1077,EONET_3349,"Piemonte, Italy Wildfires",Wildfires,2017-10-22,True,2017-11-02,"{'type': 'Polygon', 'coordinates': [[[6.851806640625, 44.9213963685294], [6.851806640625, 45.295897034277495], [7.515869140625, 45.295897034277495], [7.515869140625, 44.9213963685294], [6.851806640625, 44.9213963685294]]]}"
1078,EONET_3331,Tropical Storm Twentyseven,Severe Storms,2017-10-19,True,2017-10-29,"{'type': 'Point', 'coordinates': [151.7, 12.2]}"
1079,EONET_3332,"Transfer Station Fire , ARIZONA",Wildfires,2017-10-19,True,2017-10-29,"{'type': 'Point', 'coordinates': [-109.36638888889, 34.103333333333]}"
1080,EONET_3355,"Buffalo Fire, California",Wildfires,2017-10-17,True,2017-11-14,"{'type': 'Point', 'coordinates': [-117.402445, 33.402411]}"
1081,EONET_3361,Northern India Air Quality,Dust and Haze,2017-10-17,True,2017-12-15,"{'type': 'Polygon', 'coordinates': [[[68.671875, 25.77435606216124], [68.671875, 33.19933325457392], [89.0234375, 33.19933325457392], [89.0234375, 25.77435606216124], [68.671875, 25.77435606216124]]]}"
1082,EONET_3327,Super Typhoon Lan,Severe Storms,2017-10-15,True,2017-10-28,"{'type': 'Point', 'coordinates': [136.8, 9.3]}"
1083,EONET_3328,Central Portugal Wildfires,Wildfires,2017-10-15,True,2017-10-22,"{'type': 'Point', 'coordinates': [-7.689599245, 40.58966762]}"
1084,EONET_3329,"Oakmont Fire (Central LNU Complex), California",Wildfires,2017-10-14,True,2017-10-29,"{'type': 'Point', 'coordinates': [-122.58152, 38.46123]}"
1085,EONET_3322,Typhoon Khanun,Severe Storms,2017-10-12,True,2017-10-21,"{'type': 'Point', 'coordinates': [124.2, 17.7]}"
1086,EONET_3334,"Kirishimayama Volcano, Japan",Volcanoes,2017-10-11,True,2017-11-21,"{'type': 'Point', 'coordinates': [130.862, 31.934]}"
1087,EONET_3335,"Lewotolo Volcano, Indonesia",Volcanoes,2017-10-11,True,2017-10-17,"{'type': 'Point', 'coordinates': [123.505, -8.272]}"
1088,EONET_3310,"Wildfire - NE of Irvine, California - United States",Wildfires,2017-10-09,True,2017-10-11,"{'type': 'Point', 'coordinates': [-117.734320998, 33.822813747]}"
1089,EONET_3324,"37 Fire, California",Wildfires,2017-10-09,True,2017-10-12,"{'type': 'Point', 'coordinates': [-122.47301, 38.14242]}"
1090,EONET_3312,"Canyon 2 Fire, California",Wildfires,2017-10-09,True,2017-10-17,"{'type': 'Point', 'coordinates': [-117.70975, 33.87041]}"
1091,EONET_3318,"Pocket Fire (Central LNU Complex), California",Wildfires,2017-10-09,True,2017-11-06,"{'type': 'Point', 'coordinates': [-122.90939, 38.76549]}"
1092,EONET_3308,Hurricane Ophelia,Severe Storms,2017-10-09,True,2017-10-21,"{'type': 'Point', 'coordinates': [-39.9, 31.1]}"
1093,EONET_3321,"La Porte Fire (Wind Complex), California",Wildfires,2017-10-09,True,2017-10-28,"{'type': 'Point', 'coordinates': [-121.40613, 39.39455]}"
1094,EONET_3330,"Sulphur Fire (Mendocino Lake Complex), California",Wildfires,2017-10-08,True,2017-10-27,"{'type': 'Point', 'coordinates': [-122.64543, 39.01387]}"
1095,EONET_3314,"Partrick Fire (Southern LNU Complex), California",Wildfires,2017-10-08,True,2017-10-29,"{'type': 'Point', 'coordinates': [-122.39052, 38.31802]}"
1096,EONET_3323,"Cascade Fire (Wind Complex), California",Wildfires,2017-10-08,True,2017-10-28,"{'type': 'Point', 'coordinates': [-121.4021, 39.32198]}"
1097,EONET_3317,"Redwood / Potter Fires (Mendocino Lake Complex), California",Wildfires,2017-10-08,True,2017-10-28,"{'type': 'Point', 'coordinates': [-123.16635, 39.24873]}"
1098,EONET_3315,"Nuns Fire (Southern LNU Complex), California",Wildfires,2017-10-08,True,2017-11-06,"{'type': 'Point', 'coordinates': [-122.5209, 38.4041]}"
1099,EONET_3319,"Tubbs Fire (Central LNU Complex), California",Wildfires,2017-10-08,True,2017-11-06,"{'type': 'Point', 'coordinates': [-122.62879, 38.60895]}"
1100,EONET_3320,"Cherokee Fire, California",Wildfires,2017-10-08,True,2017-10-17,"{'type': 'Point', 'coordinates': [-121.52966, 39.62496]}"
1101,EONET_3316,"Atlas Fire (Southern LNU Complex), California",Wildfires,2017-10-08,True,2017-10-29,"{'type': 'Point', 'coordinates': [-122.24367, 38.39206]}"
1102,EONET_3313,"33 Springs Fire, ARIZONA",Wildfires,2017-10-06,True,2017-11-15,"{'type': 'Point', 'coordinates': [-111.08722222222, 34.477777777778]}"
1103,EONET_3307,Hurricane Nate,Severe Storms,2017-10-04,True,2017-10-14,"{'type': 'Point', 'coordinates': [-81.9, 12.2]}"
1104,EONET_3306,Tropical Storm Ramon,Severe Storms,2017-10-04,True,2017-10-10,"{'type': 'Point', 'coordinates': [-96.0, 14.3]}"
1105,EONET_3352,"Reventador Volcano, Ecuador",Volcanoes,2017-10-03,True,2018-07-03,"{'type': 'Point', 'coordinates': [-77.656, -0.077]}"
1106,EONET_3340,"Agricultural Burning, India",Manmade,2017-10-01,True,2017-12-01,"{'type': 'Polygon', 'coordinates': [[[73.4619140625, 28.81982999286589], [73.4619140625, 31.753563368984928], [77.333984375, 31.753563368984928], [77.333984375, 28.81982999286589], [73.4619140625, 28.81982999286589]]]}"
1107,EONET_3297,"Canyon Fire, CALIFORNIA",Wildfires,2017-09-25,True,2017-10-04,"{'type': 'Point', 'coordinates': [-117.66972222222, 33.87]}"
1108,EONET_3305,"Lion Fire, CALIFORNIA",Wildfires,2017-09-24,True,2017-11-29,"{'type': 'Point', 'coordinates': [-118.48555555556, 36.271388888889]}"
1109,EONET_3326,Tropical Storm Pilar,Severe Storms,2017-09-23,True,2017-09-30,"{'type': 'Point', 'coordinates': [-105.3, 18.4]}"
1110,EONET_3300,Iceberg B44,Sea and Lake Ice,2017-09-23,True,2017-10-23,"{'type': 'Point', 'coordinates': [-101.05, -74.95]}"
1111,EONET_3303,"Ambae Volcano, Vanuatu",Volcanoes,2017-09-23,True,2018-06-07,"{'type': 'Point', 'coordinates': [167.83, -15.4]}"
1112,EONET_3304,"Borjormi, Georgia Wildfire",Wildfires,2017-09-22,True,2017-09-26,"{'type': 'Point', 'coordinates': [43.5, 41.8]}"
1113,EONET_3286,"Agung Volcano, Indonesia",Volcanoes,2017-09-19,True,2018-09-21,"{'type': 'Point', 'coordinates': [115.508, -8.342]}"
1114,EONET_3287,"Puebla, Mexico M 7.1 Earthquake",Earthquakes,2017-09-19,True,2017-09-29,"{'type': 'Point', 'coordinates': [-98.399, 18.584]}"
1115,EONET_3291,Wildfires - Canary Islands,Wildfires,2017-09-19,True,2017-09-21,"{'type': 'Point', 'coordinates': [-15.55016, 28.05294]}"
1116,EONET_3285,"Zhupanovsky Volcano, Russia",Volcanoes,2017-09-17,True,2017-09-20,"{'type': 'Point', 'coordinates': [159.15, 53.589]}"
1117,EONET_3281,Hurricane Maria,Severe Storms,2017-09-16,True,2017-10-05,"{'type': 'Point', 'coordinates': [-52.6, 12.3]}"
1118,EONET_3294,"Deer Creek Fire, NEW MEXICO",Wildfires,2017-09-15,True,2017-09-26,"{'type': 'Point', 'coordinates': [-106.79805555556, 35.730833333333]}"
1119,EONET_3282,Hurricane Lee,Severe Storms,2017-09-15,True,2017-10-04,"{'type': 'Point', 'coordinates': [-25.4, 10.7]}"
1120,EONET_3289,Hurricane Norma,Severe Storms,2017-09-14,True,2017-09-25,"{'type': 'Point', 'coordinates': [-109.5, 17.2]}"
1121,EONET_3290,Hurricane Max,Severe Storms,2017-09-13,True,2017-09-20,"{'type': 'Point', 'coordinates': [-101.7, 16.2]}"
1122,EONET_3283,"Buck Fire (CA), CALIFORNIA",Wildfires,2017-09-12,True,2017-09-25,"{'type': 'Point', 'coordinates': [-123.03555555556, 40.2275]}"
1123,EONET_3274,"Cottonwood Fire, NEVADA",Wildfires,2017-09-12,True,2017-09-29,"{'type': 'Point', 'coordinates': [-116.42361111111, 40.258333333333]}"
1124,EONET_3302,"Palmer Fire, NEW MEXICO",Wildfires,2017-09-12,True,2017-10-02,"{'type': 'Point', 'coordinates': [-105.55111111111, 35.367777777778]}"
1125,EONET_3325,Hurricane Otis,Severe Storms,2017-09-11,True,2017-09-24,"{'type': 'Point', 'coordinates': [-112.3, 16.4]}"
1126,EONET_3268,Typhoon Doksuri,Severe Storms,2017-09-11,True,2017-09-20,"{'type': 'Point', 'coordinates': [122.8, 14.8]}"
1127,EONET_3272,"Rankin Fire, SOUTH DAKOTA",Wildfires,2017-09-11,True,2017-09-29,"{'type': 'Point', 'coordinates': [-103.45472222222, 43.6225]}"
1128,EONET_3273,"Blacktail Fire, MONTANA",Wildfires,2017-09-10,True,2017-09-21,"{'type': 'Point', 'coordinates': [-110.32444444444, 46.229722222222]}"
1129,EONET_3265,"Pine Tree Fire, COLORADO",Wildfires,2017-09-09,True,2017-09-29,"{'type': 'Point', 'coordinates': [-108.11722222222, 40.344166666667]}"
1130,EONET_3284,"Desolation Fire, OREGON",Wildfires,2017-09-09,True,2017-09-26,"{'type': 'Point', 'coordinates': [-120.4975, 44.479444444444]}"
1131,EONET_3278,"Livorno/Rosignano, Italy Floods",Floods,2017-09-09,True,2017-09-19,"{'type': 'Polygon', 'coordinates': [[[10.29876708984375, 43.35648863083366], [10.29876708984375, 43.63582198182203], [10.5206298828125, 43.63582198182203], [10.5206298828125, 43.35648863083366], [10.29876708984375, 43.35648863083366]]]}"
1132,EONET_3277,"Andalusia, Spain Wildfire",Wildfires,2017-09-09,True,2017-09-13,"{'type': 'Polygon', 'coordinates': [[[-6.474609375, 37.556934181476], [-6.474609375, 37.933090884409374], [-5.65673828125, 37.933090884409374], [-5.65673828125, 37.556934181476], [-6.474609375, 37.556934181476]]]}"
1133,EONET_3263,Typhoon Talim,Severe Storms,2017-09-08,True,2017-09-23,"{'type': 'Point', 'coordinates': [146.9, 13.4]}"
1134,EONET_3276,"Pijijiapan, Mexico M 8.1 Earthquake",Earthquakes,2017-09-08,True,2017-09-18,"{'type': 'Point', 'coordinates': [-93.715, 15.068]}"
1135,EONET_3280,"Coolwater Complex Fire, IDAHO",Wildfires,2017-09-07,True,2017-09-21,"{'type': 'Point', 'coordinates': [-115.39138888889, 46.189722222222]}"
1136,EONET_3244,Hurricane Katia,Severe Storms,2017-09-05,True,2017-09-24,"{'type': 'Point', 'coordinates': [-96.7, 22.4]}"
1137,EONET_3245,Hurricane Jose,Severe Storms,2017-09-05,True,2017-09-26,"{'type': 'Point', 'coordinates': [-39.1, 12.3]}"
1138,EONET_3279,"Sawmill Creek Fire, WASHINGTON",Wildfires,2017-09-04,True,2017-09-23,"{'type': 'Point', 'coordinates': [-121.43583333333, 47.163055555556]}"
1139,EONET_3252,"Deep Creek Fire, COLORADO",Wildfires,2017-09-04,True,2017-09-14,"{'type': 'Point', 'coordinates': [-107.10972222222, 40.599444444444]}"
1140,EONET_3260,"Fernandina Volcano, Galapagos Islands, Ecuador",Volcanoes,2017-09-04,True,2017-09-06,"{'type': 'Point', 'coordinates': [-91.55, -0.37]}"
1141,EONET_3292,"Creek Fire, CALIFORNIA",Wildfires,2017-09-03,True,2017-11-20,"{'type': 'Point', 'coordinates': [-119.94111111111, 38.12]}"
1142,EONET_3249,"Mission Fire, CALIFORNIA",Wildfires,2017-09-03,True,2017-09-21,"{'type': 'Point', 'coordinates': [-119.48277777778, 37.212777777778]}"
1143,EONET_3242,"Eagle Creek Fire, OREGON",Wildfires,2017-09-02,True,2017-11-30,"{'type': 'Point', 'coordinates': [-121.90416666667, 45.630277777778]}"
1144,EONET_3541,Eagle Creek Fire,Wildfires,2017-09-02,True,2018-08-02,"{'type': 'Point', 'coordinates': [-121.904, 45.63]}"
1145,EONET_3270,"Strychnine Fire, IDAHO",Wildfires,2017-09-02,True,2017-10-01,"{'type': 'Point', 'coordinates': [-116.62666666667, 46.956111111111]}"
1146,EONET_3271,"Weasel Fire, MONTANA",Wildfires,2017-09-02,True,2017-10-06,"{'type': 'Point', 'coordinates': [-114.72972222222, 48.954166666667]}"
1147,EONET_3224,"Palmer Fire, California",Wildfires,2017-09-02,True,2017-09-07,"{'type': 'Point', 'coordinates': [-117.09984, 33.97471]}"
1148,EONET_3233,"Finlay Creek Fire, British Columbia, Canada",Wildfires,2017-09-02,True,2017-09-19,"{'type': 'Point', 'coordinates': [-119.8262329, 49.7333832]}"
1149,EONET_3237,"Caldwell Fire, CALIFORNIA",Wildfires,2017-09-01,True,2017-09-12,"{'type': 'Point', 'coordinates': [-118.40555555556, 35.759722222222]}"
1150,EONET_3223,"La Tuna Fire, California",Wildfires,2017-09-01,True,2017-09-05,"{'type': 'Point', 'coordinates': [-118.31641165, 34.223685531]}"
1151,EONET_3221,Tropical Storm Mawar,Severe Storms,2017-08-31,True,2017-09-08,"{'type': 'Point', 'coordinates': [118.7, 19.0]}"
1152,EONET_3209,Tropical Storm Lidia,Severe Storms,2017-08-31,True,2017-09-08,"{'type': 'Point', 'coordinates': [-109.2, 20.7]}"
1153,EONET_3262,Niger Flooding,Floods,2017-08-31,True,2017-09-09,"{'type': 'Polygon', 'coordinates': [[[1.34765625, 12.011583667128816], [1.34765625, 15.52480746148673], [6.845703125, 15.52480746148673], [6.845703125, 12.011583667128816], [1.34765625, 12.011583667128816]]]}"
1154,EONET_3211,"Helena Fire, CALIFORNIA",Wildfires,2017-08-30,True,2017-11-20,"{'type': 'Point', 'coordinates': [-123.10166666667, 40.778611111111]}"
1155,EONET_3254,"Moose Peak  Fire, MONTANA",Wildfires,2017-08-30,True,2017-10-01,"{'type': 'Point', 'coordinates': [-115.30916666667, 47.896111111111]}"
1156,EONET_3208,Hurricane Irma,Severe Storms,2017-08-30,True,2017-09-17,"{'type': 'Point', 'coordinates': [-30.3, 16.4]}"
1157,EONET_3253,"West Fork Fire, MONTANA",Wildfires,2017-08-30,True,2017-09-27,"{'type': 'Point', 'coordinates': [-115.64888888889, 48.507777777778]}"
1158,EONET_3217,"R-4 Fire, CALIFORNIA",Wildfires,2017-08-30,True,2017-09-07,"{'type': 'Point', 'coordinates': [-119.93388888889, 40.696944444444]}"
1159,EONET_3219,"Sartin Draw Fire, MONTANA",Wildfires,2017-08-30,True,2017-09-09,"{'type': 'Point', 'coordinates': [-106.00888888889, 45.738611111111]}"
1160,EONET_3238,"Uno Peak Fire, WASHINGTON",Wildfires,2017-08-30,True,2017-10-15,"{'type': 'Point', 'coordinates': [-120.37666666667, 48.116944444444]}"
1161,EONET_3247,"Green Ridge Complex Fire, MONTANA",Wildfires,2017-08-30,True,2017-09-28,"{'type': 'Point', 'coordinates': [-114.88472222222, 45.821666666667]}"
1162,EONET_3261,"Nevados de Chillan Volcano, Chile",Volcanoes,2017-08-30,True,2017-10-12,"{'type': 'Point', 'coordinates': [-71.377, -36.863]}"
1163,EONET_3264,"Kenow Mountain - Modifiied Response Fire, British Columbia, Canada",Wildfires,2017-08-30,True,2017-10-05,"{'type': 'Point', 'coordinates': [-114.3025, 49.0597333]}"
1164,EONET_3269,"Soowa Mountain - Modified Response Fire, British Columbia, Canada",Wildfires,2017-08-30,True,2017-10-02,"{'type': 'Point', 'coordinates': [-114.9392667, 49.21955]}"
1165,EONET_3212,"Tohakum 2 Fire, NEVADA",Wildfires,2017-08-29,True,2017-09-15,"{'type': 'Point', 'coordinates': [-119.46361111111, 40.272777777778]}"
1166,EONET_3215,"Slinkard Fire, CALIFORNIA",Wildfires,2017-08-29,True,2017-09-12,"{'type': 'Point', 'coordinates': [-119.54972222222, 38.611666666667]}"
1167,EONET_3235,"Sheep Gap Fire, MONTANA",Wildfires,2017-08-29,True,2017-09-04,"{'type': 'Point', 'coordinates': [-115.06, 47.495]}"
1168,EONET_3206,"Mud Fire, CALIFORNIA",Wildfires,2017-08-29,True,2017-09-06,"{'type': 'Point', 'coordinates': [-120.2425, 40.395277777778]}"
1169,EONET_3204,"Piney Fire, NEVADA",Wildfires,2017-08-29,True,2017-09-14,"{'type': 'Point', 'coordinates': [-114.26666666667, 41.966666666667]}"
1170,EONET_3201,"Ponderosa Fire, California",Wildfires,2017-08-29,True,2017-09-23,"{'type': 'Point', 'coordinates': [-121.30209, 39.57701]}"
1171,EONET_3214,"Railroad Fire, CALIFORNIA",Wildfires,2017-08-29,True,2017-09-16,"{'type': 'Point', 'coordinates': [-119.65138888889, 37.434166666667]}"
1172,EONET_3202,"Pier Fire, CALIFORNIA",Wildfires,2017-08-29,True,2017-11-29,"{'type': 'Point', 'coordinates': [-118.68527777778, 36.165277777778]}"
1173,EONET_3196,Typhoon Sanvu,Severe Storms,2017-08-28,True,2017-09-07,"{'type': 'Point', 'coordinates': [146.3, 20.1]}"
1174,EONET_3227,"Highway 200 Complex Fire, MONTANA",Wildfires,2017-08-28,True,2017-10-03,"{'type': 'Point', 'coordinates': [-115.28472222222, 47.575]}"
1175,EONET_3241,"Lamb Creek Fire, British Columbia, Canada",Wildfires,2017-08-28,True,2017-10-05,"{'type': 'Point', 'coordinates': [-115.878334, 49.3166504]}"
1176,EONET_3225,"Tungsten Fire, NEVADA",Wildfires,2017-08-27,True,2017-09-15,"{'type': 'Point', 'coordinates': [-117.70972222222, 39.7525]}"
